Player,Span,Mat,Inns,Dis,Ct,St
K Doriga (PNG),2019-2019,17,17,16,15,1
Hamza Tariq (CAN),2013-2019,15,15,16,12,4
JW Jenner (JER),2019-2019,17,17,16,16,0
P Khadka (NEPAL),2014-2019,30,30,16,16,0
Nawroz Mangal (AFG),2010-2017,32,32,16,16,0
AM Rahane (INDIA),2011-2016,20,20,16,16,0
WB Rankin (ENG/IRE),2009-2019,48,47,16,16,0
Rashid Khan (AFG/ICC),2015-2019,45,45,16,16,0
Shafiqullah (AFG),2010-2019,46,46,16,14,2
Ahmed Shehzad (PAK),2009-2019,59,59,15,15,0
Babar Azam (PAK),2016-2019,36,36,15,15,0
B Bhandari (NEPAL),2014-2019,27,27,15,10,5
PD Collingwood (ENG/World),2005-2017,36,36,15,15,0
CH Gayle (WI),2006-2019,58,58,15,15,0
Ghulam Shabber (UAE),2016-2019,17,17,15,14,1
ZE Green (NAM),2019-2019,16,16,15,10,5
Nasir Hossain (BDESH),2011-2016,31,30,15,15,0
SW Poynter (IRE),2015-2019,25,23,15,13,2
MS Wade (AUS),2011-2016,26,26,15,13,2
CAK Walton (WI),2014-2018,19,19,15,13,2
SC Williams (ZIM),2006-2019,38,38,15,15,0
JJ Atkinson (HKG),2014-2016,13,13,14,14,0
A Balbirnie (IRE),2015-2019,37,35,14,14,0
F Behardien (SA),2012-2018,38,38,14,14,0
Fakhar Zaman (PAK),2017-2019,34,34,14,14,0
Imad Wasim (PAK),2015-2019,41,41,14,14,0
IA Karim (KENYA),2013-2019,16,16,14,11,3
G Malla (NEPAL),2014-2019,24,24,14,14,0
Misbah-ul-Haq (PAK),2007-2012,39,39,14,14,0
MP O'Dowd (NL),2015-2019,36,35,14,14,0
KP Pietersen (ENG),2005-2013,37,36,14,14,0
MJ Santner (NZ),2015-2019,39,38,14,14,0
A Vala (PNG),2015-2019,26,26,14,14,0
J Vira (VAN),2019-2019,14,14,14,10,4
LJ Wright (ENG),2007-2014,51,50,14,14,0
AC Agar (AUS),2016-2019,21,21,13,13,0
Ahmed Raza (UAE),2014-2019,36,36,13,13,0
Ahsan Malik (NL),2012-2017,31,30,13,13,0
TC Bruce (NZ),2017-2019,15,14,13,13,0
MJ Clarke (AUS),2005-2010,34,34,13,13,0
NM Coulter-Nile (AUS),2013-2019,28,27,13,13,0
JEC Franklin (NZ),2006-2013,38,38,13,13,0
Liton Das (BDESH),2015-2019,25,25,13,13,0
JF Mooney (IRE),2009-2015,27,27,13,13,0
MA Ouma (KENYA),2007-2013,22,22,13,8,5
TD Paine (AUS/World),2009-2017,12,12,13,11,2
SP Patil (UAE),2014-2016,18,18,13,9,4
KL Rahul (INDIA),2016-2019,34,34,13,13,0
Aamir Kaleem (OMAN),2015-2019,25,24,12,12,0
TA Boult (NZ),2013-2019,27,27,12,12,0
J Charles (WI),2011-2016,34,34,12,10,2
JH Davey (SCOT),2012-2019,21,20,12,12,0
CR Ervine (ZIM),2010-2019,22,22,12,12,0
HG Munsey (SCOT),2015-2019,38,36,12,12,0
Nadeem Ahmed (HKG),2014-2017,24,24,12,12,0
JDP Oram (NZ),2005-2012,36,36,12,12,0
Saeed Ajmal (PAK),2009-2015,64,64,12,12,0
MN Samuels (WI),2007-2018,67,67,12,12,0
TL Seifert (NZ),2018-2019,19,19,12,8,4
V Sibanda (ZIM),2007-2016,26,26,12,12,0
Tamoor Sajjad (QAT),2019-2019,12,12,12,12,0
HA Varaiya (KENYA),2007-2013,25,25,12,12,0
DJ Willey (ENG),2015-2019,28,28,12,12,0
Younis Khan (PAK),2006-2010,25,25,12,12,0
Yuvraj Singh (INDIA),2007-2017,58,57,12,12,0
A Bagai (CAN),2008-2013,9,9,11,5,6
S Chandramohan (SGP),2019-2019,12,12,11,11,0
TH David (SGP),2019-2019,12,12,11,11,0
N Davin (NAM),2019-2019,16,16,11,11,0
JSE Dunford (JER),2019-2019,17,17,11,6,5
MG Erasmus (NAM),2019-2019,16,16,11,11,0
JP Faulkner (AUS),2012-2017,24,24,11,11,0
G Gambhir (INDIA),2007-2012,37,36,11,11,0
Imran Nazir (PAK),2007-2012,25,25,11,11,0
Jatinder Singh (OMAN),2015-2019,25,25,11,11,0
Khawar Ali (OMAN),2015-2019,29,28,11,11,0
Mohammed Rizlan (QAT),2019-2019,15,15,11,8,3
PL Mommsen (SCOT),2012-2016,24,22,11,11,0
GD Phillips (NZ),2017-2018,11,10,11,9,2
Rizwan Cheema (CAN),2008-2019,24,24,11,11,0
Rohan Mustafa (UAE),2014-2019,38,38,11,11,0
AD Russell (WI),2011-2018,47,47,11,11,0
Shadab Khan (PAK),2017-2019,38,38,11,11,0
Shaiman Anwar (UAE),2014-2019,32,32,11,11,0
DW Steyn (SA),2007-2019,44,44,11,11,0
T Taibu (ZIM),2007-2012,17,17,11,6,5
PA van Meekeren (NL),2013-2019,41,39,11,11,0
D Weston (GER),2019-2019,6,6,11,9,2
Abdur Razzak (BDESH),2006-2014,34,33,10,10,0
GJ Bailey (AUS/World),2012-2017,30,30,10,10,0
SJ Benn (WI),2008-2016,24,24,10,10,0
TT Bresnan (ENG),2006-2014,34,34,10,10,0
RP Burl (ZIM),2018-2019,16,16,10,10,0
SS Cottrell (WI),2014-2019,22,22,10,10,0
N Dickwella (SL),2016-2019,23,23,10,10,0
R Escobar (Arg),2019-2019,5,5,10,7,3
FJ Klaassen (NL),2018-2019,21,20,10,10,0
Mashrafe Mortaza (BDESH),2006-2017,54,53,10,10,0
Nizakat Khan (HKG),2014-2019,34,34,10,10,0
JL Ontong (SA),2008-2015,14,14,10,10,0
RJ Peterson (SA),2006-2014,21,21,10,10,0
AU Rashid (ENG),2009-2019,40,40,10,10,0
SM Sharif (SCOT),2012-2019,42,41,10,10,0
JJ Smit (NAM),2019-2019,12,12,10,10,0
LJ Tucker (IRE),2016-2019,14,14,10,10,0
Usman Ghani (AFG),2015-2019,19,19,10,10,0
Asif Ali (PAK),2018-2019,25,25,9,9,0
Mudassar Bukhari (NL),2008-2016,38,36,9,9,0
CJ Chibhabha (ZIM),2006-2018,33,33,9,9,0
MD Gunathilaka (SL),2016-2019,21,21,9,9,0
DT Johnston (IRE),2008-2013,30,28,9,9,0
Karan KC (NEPAL),2015-2019,25,25,9,9,0
E Lewis (WI),2016-2019,29,29,9,9,0
PD McGlashan (NZ),2006-2010,11,11,9,9,0
Manpreet Singh (ITA),2019-2019,8,7,9,6,3
Mohamed Azzam (Mald),2019-2019,7,7,9,8,1
J Mubarak (SL),2007-2009,16,16,9,9,0
Mustafizur Rahman (BDESH),2015-2019,37,37,9,9,0
SO Ngoche (KENYA),2010-2019,28,28,9,9,0
RR Pant (INDIA),2017-2019,26,26,9,6,3
YK Pathan (INDIA),2007-2012,22,22,9,9,0
R Powell (WI),2017-2019,23,23,9,9,0
MJ Prior (ENG),2007-2010,10,10,9,6,3
DMW Rawlins (BMUDA),2019-2019,11,11,9,9,0
JA Richardson (AUS),2017-2019,9,9,9,9,0
RR Rossouw (SA),2014-2016,15,15,9,9,0
CJO Smith (SCOT),2007-2009,8,7,9,5,4
IS Sodhi (NZ),2014-2019,40,39,9,9,0
MC Sorensen (IRE),2012-2016,26,24,9,9,0
BA Stokes (ENG),2011-2018,23,22,9,9,0
Sultan Ahmed (UAE),2017-2019,17,17,9,9,0
Suraj Kumar (OMAN),2019-2019,13,13,9,7,2
JE Taylor (WI),2006-2018,30,30,9,9,0
T van der Gugten (NL),2012-2019,39,38,9,9,0
DL Vettori (NZ),2007-2014,34,34,9,9,0
CD Wallace (SCOT),2012-2019,19,18,9,7,2
MN Waller (ZIM),2011-2018,32,32,9,9,0
D Wiese (SA),2013-2016,20,20,9,9,0
Zaheer Ibrahim (QAT),2019-2019,13,13,9,9,0
Aizaz Khan (HKG),2014-2019,30,30,8,8,0
R Ashwin (INDIA),2010-2017,46,46,8,8,0
S Bau (PNG),2016-2019,23,23,8,8,0
DG Blampied (JER),2019-2019,17,17,8,8,0
AC Botha (IRE),2008-2010,14,13,8,8,0
